Compound_ID,SMILES,Activity_Label
CHEMBL106202,CC(C)(C)OC(=O)N[C@@H](CC(=O)O)C(=O)N1CCCC1C(=O)N[C@@H](CCCN=C(N)N)C(=O)C(=O)NCCc1ccccc1,1
CHEMBL1083499,Cc1cnc(NCC(F)(F)c2ccccc2)c(=O)n1CC(=O)NCCONC(=N)N,0
CHEMBL1084908,N#Cc1cnc(NCC(F)(F)c2ccccc2)c(=O)n1CC(=O)NCCONC(=N)N,0
CHEMBL1088332,N=C(N)NOCCNC(=O)Cn1c(Cl)cnc(NCC(F)(F)c2ccccc2)c1=O,0
CHEMBL109044,CCOC(=O)CN(NC(C)=O)C(=O)[C@@H]1CCCC[C@H]1C(=O)N[C@H](C=O)CCCN=C(N)N,0
CHEMBL110631,CCOC(=O)CN(NC(=O)OC(C)(C)C)C(=O)[C@@H]1CCCC[C@H]1C(=O)N[C@H](C=O)CCCN=C(N)N,0
CHEMBL111363,CC(=O)NN(CCCc1ccccc1)C(=O)[C@@H]1CCCC[C@H]1C(=O)N[C@H](C=O)CCCN=C(N)N,0
CHEMBL1160757,C=C(C)C[C@]1(N)C[C@H](OC)[C@@H]2[C@H](CC)CC(C(=O)NCc3ccc(C(=N)N)cc3)N2C1=O.O=C(O)/C=C/C(=O)O,1
CHEMBL121981,CC(NC(=O)CNC(=O)Nc1ccc(C(=N)N)cc1)c1ccc(OCc2ccccc2)cc1,1
CHEMBL122148,C[C@@H](NC(=O)CNC(=O)Nc1ccc(C(=N)N)cc1)c1ccc2ccccc2c1,1
CHEMBL122151,CC(NC(=O)CNC(=O)Nc1ccc(C(=N)N)cc1)c1ccc(Cc2ccccc2)cc1,1
CHEMBL122222,COC(=O)c1cc(C(C)NC(=O)CNC(=O)Nc2ccc(C(=N)N)cc2)ccc1OCc1ccccc1,1
CHEMBL122309,CC(NC(=O)CNC(=O)Nc1ccc(C(=N)N)cc1)c1ccc(N2CCOCC2)cc1,1
CHEMBL122548,CC(NC(=O)CNC(=O)Nc1ccc(C(=N)N)cc1)c1ccc(C(=O)Nc2ccccc2)cc1,1
