Compound_ID,Activity_Label,Source,SMILES,MolWt,LogP,HBA,HBD
CHEMBL106202,1,ChEMBL_PKM2,[H]OC(=O)C([H])([H])[C@@]([H])(C(=O)N1C([H])([H])C([H])([H])C([H])([H])C1([H])C(=O)N([H])[C@]([H])(C(=O)C(=O)N([H])C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])C([H])([H])N=C(N([H])[H])N([H])[H])N([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],617.7040000000018,-0.18819999999999237,9,6
CHEMBL1083499,0,ChEMBL_PKM2,[H]N=C(N([H])[H])N([H])OC([H])([H])C([H])([H])N([H])C(=O)C([H])([H])n1c(C([H])([H])[H])c([H])nc(N([H])C([H])([H])C(F)(F)c2c([H])c([H])c([H])c([H])c2[H])c1=O,423.4239999999997,0.28649000000000124,7,5
CHEMBL1084908,0,ChEMBL_PKM2,[H]N=C(N([H])[H])N([H])OC([H])([H])C([H])([H])N([H])C(=O)C([H])([H])n1c(C#N)c([H])nc(N([H])C([H])([H])C(F)(F)c2c([H])c([H])c([H])c([H])c2[H])c1=O,434.40699999999975,-0.15024999999999855,8,5
CHEMBL1088332,0,ChEMBL_PKM2,[H]N=C(N([H])[H])N([H])OC([H])([H])C([H])([H])N([H])C(=O)C([H])([H])n1c(Cl)c([H])nc(N([H])C([H])([H])C(F)(F)c2c([H])c([H])c([H])c([H])c2[H])c1=O,443.8419999999998,0.6314699999999993,7,5
CHEMBL109044,0,ChEMBL_PKM2,[H]C(=O)[C@@]([H])(N([H])C(=O)[C@]1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C(=O)N(N([H])C(=O)C([H])([H])[H])C([H])([H])C(=O)OC([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N=C(N([H])[H])N([H])[H],454.52799999999957,-1.0270999999999957,7,4
CHEMBL110631,0,ChEMBL_PKM2,[H]C(=O)[C@@]([H])(N([H])C(=O)[C@]1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C(=O)N(N([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C(=O)OC([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N=C(N([H])[H])N([H])[H],512.6079999999996,0.3615000000000044,8,4
CHEMBL111363,0,ChEMBL_PKM2,[H]C(=O)[C@@]([H])(N([H])C(=O)[C@]1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C(=O)N(N([H])C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])C([H])([H])N=C(N([H])[H])N([H])[H],486.6169999999995,1.0426000000000029,5,4
CHEMBL1160757,1,ChEMBL_PKM2,[H]N=C(c1c([H])c([H])c(C([H])([H])N([H])C(=O)C2([H])N3C(=O)[C@](N([H])[H])(C([H])([H])C(=C([H])[H])C([H])([H])[H])C([H])([H])[C@]([H])(OC([H])([H])[H])[C@]3([H])[C@]([H])(C([H])([H])C([H])([H])[H])C2([H])[H])c([H])c1[H])N([H])[H].[H]OC(=O)/C([H])=C(\[H])C(=O)O[H],557.6480000000018,1.3767700000000052,9,6
CHEMBL121981,1,ChEMBL_PKM2,[H]N=C(c1c([H])c([H])c(N([H])C(=O)N([H])C([H])([H])C(=O)N([H])C([H])(c2c([H])c([H])c(OC([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c([H])c2[H])C([H])([H])[H])c([H])c1[H])N([H])[H],445.5229999999998,3.5485700000000016,4,5
CHEMBL122148,1,ChEMBL_PKM2,[H]N=C(c1c([H])c([H])c(N([H])C(=O)N([H])C([H])([H])C(=O)N([H])[C@@]([H])(c2c([H])c([H])c3c([H])c([H])c([H])c([H])c3c2[H])C([H])([H])[H])c([H])c1[H])N([H])[H],389.4589999999998,3.122770000000001,3,5
CHEMBL122151,1,ChEMBL_PKM2,[H]N=C(c1c([H])c([H])c(N([H])C(=O)N([H])C([H])([H])C(=O)N([H])C([H])(c2c([H])c([H])c(C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c([H])c2[H])C([H])([H])[H])c([H])c1[H])N([H])[H],429.5239999999998,3.5603700000000025,3,5
CHEMBL122222,1,ChEMBL_PKM2,[H]N=C(c1c([H])c([H])c(N([H])C(=O)N([H])C([H])([H])C(=O)N([H])C([H])(c2c([H])c([H])c(OC([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c(C(=O)OC([H])([H])[H])c2[H])C([H])([H])[H])c([H])c1[H])N([H])[H],503.5589999999998,3.3351700000000006,6,5
CHEMBL122309,1,ChEMBL_PKM2,[H]N=C(c1c([H])c([H])c(N([H])C(=O)N([H])C([H])([H])C(=O)N([H])C([H])(c2c([H])c([H])c(N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])c([H])c2[H])C([H])([H])[H])c([H])c1[H])N([H])[H],424.5049999999997,1.8061699999999998,5,5
CHEMBL122548,1,ChEMBL_PKM2,[H]N=C(c1c([H])c([H])c(N([H])C(=O)N([H])C([H])([H])C(=O)N([H])C([H])(c2c([H])c([H])c(C(=O)N([H])c3c([H])c([H])c([H])c([H])c3[H])c([H])c2[H])C([H])([H])[H])c([H])c1[H])N([H])[H],458.5219999999998,3.221870000000001,4,6
CHEMBL122599,1,ChEMBL_PKM2,[H]N=C(c1c([H])c([H])c(N([H])C(=O)N([H])C([H])([H])C(=O)N([H])C([H])(c2c([H])c([H])c(OC([H])([H])c3c([H])c([H])c([H])c(Cl)c3[H])c([H])c2[H])C([H])([H])[H])c([H])c1[H])N([H])[H],479.9679999999998,4.201970000000001,4,5
CHEMBL122600,1,ChEMBL_PKM2,[H]N=C(c1c([H])c([H])c(N([H])C(=O)N([H])C([H])([H])C(=O)N([H])C([H])(c2c([H])c([H])c(Oc3c([H])c([H])c(Cl)c([H])c3Cl)c([H])c2[H])C([H])([H])[H])c([H])c1[H])N([H])[H],500.3859999999998,5.068670000000002,4,5
CHEMBL122765,1,ChEMBL_PKM2,[H]N=C(c1c([H])c([H])c(N([H])C(=O)N([H])C([H])([H])C(=O)N([H])[C@]([H])(c2c([H])c([H])c(Br)c([H])c2[H])C([H])([H])[H])c([H])c1[H])N([H])[H],418.29499999999973,2.73207,3,5
CHEMBL122854,1,ChEMBL_PKM2,[H]N=C(c1c([H])c([H])c(N([H])C(=O)N([H])C([H])([H])C(=O)N([H])C([H])(c2c([H])c([H])c(Oc3c([H])c([H])c([H])c([H])c3[H])c([H])c2[H])C([H])([H])[H])c([H])c1[H])N([H])[H],431.4959999999998,3.761870000000002,4,5
CHEMBL122863,1,ChEMBL_PKM2,[H]N=C(c1c([H])c([H])c(N([H])C(=O)N([H])C([H])([H])C(=O)N([H])C([H])(c2c([H])c([H])c(N([H])C(=O)C([H])([H])[H])c([H])c2[H])C([H])([H])[H])c([H])c1[H])N([H])[H],396.4509999999997,1.9279699999999995,4,6
CHEMBL122916,1,ChEMBL_PKM2,[H]N=C(c1c([H])c([H])c(N([H])C(=O)N([H])C([H])([H])C(=O)N([H])C([H])(c2c([H])c([H])c(N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])c(C(F)(F)F)c2[H])C([H])([H])[H])c([H])c1[H])N([H])[H],492.5019999999997,2.8249700000000013,5,5
CHEMBL1230642,1,ChEMBL_PKM2,[H]N=C(c1c([H])c([H])c(N([H])[C@@]([H])(C(=O)N([H])S(=O)(=O)c2c([H])c([H])c([H])c(N([H])[H])c2[H])c2c([H])c(OC([H])([H])C([H])([H])[H])c([H])c(OC([H])([H])C([H])([H])[H])c2F)c([H])c1O[H])N([H])[H],545.5930000000013,2.85327,9,6
CHEMBL123336,1,ChEMBL_PKM2,[H]N=C(c1c([H])c([H])c(N([H])C(=O)N([H])C([H])([H])C(=O)N([H])C([H])(c2c([H])c([H])c(N([H])C(=O)C3([H])C([H])([H])C3([H])[H])c([H])c2[H])C([H])([H])[H])c([H])c1[H])N([H])[H],422.48899999999975,2.3180699999999996,4,6
CHEMBL125153,1,ChEMBL_PKM2,[H]N=C(c1c([H])c([H])c2c(c([H])c(-c3c([H])c([H])c([H])c(-c4c([H])c([H])c([H])c([H])c4[H])c3O[H])n2[H])c1Cl)N([H])[H],361.83199999999977,5.1449700000000025,2,4
CHEMBL125585,1,ChEMBL_PKM2,[H]N=C(c1c([H])c([H])c(C([H])([H])N([H])C(=O)C([H])([H])c2c(O[H])c(N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2-c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H])N([H])[H],416.52499999999964,4.022470000000002,4,5
CHEMBL125781,1,ChEMBL_PKM2,[H]N=C(c1c([H])c([H])c(C([H])([H])N([H])C(=O)C([H])([H])c2c(F)c(N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2-c2c([H])c([H])c([H])c(N([H])[H])c2[H])c([H])c1[H])N([H])[H],433.53099999999966,4.038170000000001,4,5
CHEMBL126012,1,ChEMBL_PKM2,[H]N=C(c1c([H])c([H])c(N([H])C(=O)N([H])C([H])([H])C(=O)N([H])[C@]([H])(c2c([H])c([H])c3c([H])c([H])c([H])c([H])c3c2[H])C([H])([H])[H])c([H])c1[H])N([H])[H],389.4589999999998,3.122770000000001,3,5
CHEMBL126707,0,ChEMBL_PKM2,[H]N=C(c1c(OC([H])([H])[H])c([H])c2c(c1[H])c([H])c(-c1c([H])c([H])c([H])c(-c3c([H])c([H])c([H])c([H])c3[H])c1O[H])n2[H])N([H])[H],357.4129999999997,4.500170000000003,3,4
CHEMBL127278,1,ChEMBL_PKM2,[H]N=C(c1c(C([H])([H])[H])c([H])c2c(c1[H])c([H])c(-c1c([H])c([H])c([H])c(-c3c([H])c([H])c([H])c([H])c3[H])c1O[H])n2[H])N([H])[H],341.4139999999997,4.799990000000003,2,4
CHEMBL127407,0,ChEMBL_PKM2,[H]N=C(c1c(O[H])c([H])c2c(c1[H])c([H])c(-c1c([H])c([H])c([H])c(-c3c([H])c([H])c([H])c([H])c3[H])c1O[H])n2[H])N([H])[H],343.38599999999974,4.1971700000000025,3,5
CHEMBL127909,1,ChEMBL_PKM2,[H]N=C(c1c(F)c([H])c2c(c1[H])c([H])c(-c1c([H])c([H])c([H])c(-c3c([H])c([H])c([H])c([H])c3[H])c1O[H])n2[H])N([H])[H],345.3769999999997,4.630670000000002,2,4
CHEMBL128019,0,ChEMBL_PKM2,[H]c1nc(C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(N([H])S(=O)(=O)C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C([H])([H])S(=O)(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N=C(N([H])[H])N([H])[H])sc1[H],705.8850000000015,0.5146000000000053,10,5
CHEMBL130252,1,ChEMBL_PKM2,[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)c1nc([H])c([H])s1)N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(N([H])S(=O)(=O)C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])c1c([H])c([H])c([H])c2c([H])c([H])c([H])c([H])c12,739.9240000000016,3.685470000000005,8,6
CHEMBL130344,1,ChEMBL_PKM2,[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)c1nc([H])c([H])s1)N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(N([H])S(=O)(=O)C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])c1c([H])c([H])c([N+](=O)[O-])c([H])c1[H],734.8610000000015,2.440470000000003,10,6
CHEMBL130464,1,ChEMBL_PKM2,[H]c1nc(C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(N([H])S(=O)(=O)C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])c2c([H])c([H])c(N([H])C(=O)C([H])([H])[H])c([H])c2[H])C([H])([H])C([H])([H])C([H])([H])N=C(N([H])[H])N([H])[H])sc1[H],746.9160000000015,2.2810000000000006,9,6
CHEMBL130592,1,ChEMBL_PKM2,[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)c1nc([H])c([H])s1)N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(N([H])S(=O)(=O)C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])c1c([H])c([H])c2c([H])c([H])c([H])c([H])c2c1[H],739.9240000000016,3.685470000000006,8,6
CHEMBL130773,1,ChEMBL_PKM2,[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)c1nc([H])c([H])s1)N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(N([H])S(=O)(=O)C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])c1c([H])c([H])c([H])c(-c2c([H])c([H])c([H])c([H])c2[H])c1[H],765.9620000000016,4.199270000000005,8,6
CHEMBL131192,1,ChEMBL_PKM2,[H]c1nc(C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(N([H])S(=O)(=O)C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])C([H])([H])C([H])([H])C([H])([H])N=C(N([H])[H])N([H])[H])sc1[H],703.8910000000017,2.631020000000002,8,5
CHEMBL131401,1,ChEMBL_PKM2,[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)c1nc([H])c([H])s1)N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(N([H])S(=O)(=O)C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])c1c([H])c(F)c(F)c(F)c1[H],743.8340000000012,2.949570000000003,8,6
CHEMBL131452,1,ChEMBL_PKM2,[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)c1nc([H])c([H])s1)N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(N([H])S(=O)(=O)C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])OC([H])([H])c1c([H])c([H])c([H])c([H])c1[H],719.8900000000016,2.506370000000003,9,6
